CVE ID,CWE ID,Success,Compilation Success,Iteration Count,vuln_num_results,vuln_num_paths,vuln_recall_file,vuln_recall_method,vuln_tp_paths_file,vuln_tp_results_file,vuln_tp_paths_method,vuln_tp_results_method,fixed_num_paths,fixed_num_results,fixed_recall_file,fixed_recall_method,fixed_tp_paths_file,fixed_tp_results_file,fixed_tp_paths_method,fixed_tp_results_method,Precision,FDR,Recall,F1
CVE-2018-12542,CWE-022,TRUE,TRUE,2,1,4,TRUE,TRUE,4,1,4,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2018-17297,CWE-022,TRUE,TRUE,7,1,1,TRUE,TRUE,0,1,0,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2018-9159,CWE-022,FALSE,TRUE,8,3,12,TRUE,TRUE,12,3,12,3,12,3,TRUE,TRUE,12,3,12,3,1,0,1,1
CVE-2019-0207,CWE-022,TRUE,TRUE,1,1,4,TRUE,TRUE,4,1,4,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2019-0225,CWE-022,TRUE,TRUE,3,1,4,TRUE,TRUE,4,1,4,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2019-17572,CWE-022,TRUE,TRUE,8,1,4,TRUE,TRUE,4,1,4,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2019-17640,CWE-022,TRUE,TRUE,2,1,4,TRUE,TRUE,4,1,4,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2020-17519,CWE-022,TRUE,TRUE,1,1,1,TRUE,TRUE,1,1,1,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2020-35460,CWE-022,TRUE,TRUE,8,2,1,TRUE,TRUE,1,1,1,1,0,0,FALSE,FALSE,0,0,0,0,0.5,0.5,1,0.6666666667
CVE-2020-5405,CWE-022,TRUE,TRUE,1,29,108,TRUE,TRUE,108,29,24,8,0,0,FALSE,FALSE,0,0,0,0,0.275862069,0.724137931,1,0.4324324324
CVE-2020-5410,CWE-022,FALSE,TRUE,8,5,20,TRUE,TRUE,18,5,18,5,20,5,TRUE,TRUE,18,5,18,5,1,0,1,1
CVE-2020-8570,CWE-022,TRUE,TRUE,4,1,1,TRUE,TRUE,0,1,0,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2021-29425,CWE-022,FALSE,TRUE,10,7,16,FALSE,FALSE,0,0,0,0,44,14,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-22931,CWE-022,FALSE,TRUE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-23082,CWE-022,FALSE,TRUE,8,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-23457,CWE-022,TRUE,TRUE,2,1,1,TRUE,TRUE,0,1,0,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2022-25842,CWE-022,TRUE,TRUE,1,3,3,TRUE,TRUE,3,3,3,3,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
